Report.Number,Date.of.Occurrence,Time.of.Occurrence,City,Crime,Victim.Age,Victim.Gender,Severity,Latitude,Longitude
1,01-01-2020,1.11,Ahmedabad,IDENTITY THEFT,16,M,1,23.0215374,72.5800568
2,01-01-2020,6.26,Chennai,HOMICIDE,37,M,3,13.0836939,80.270186
3,01-01-2020,14.30,Ludhiana,KIDNAPPING,48,F,3,30.9090157,75.851601
4,01-01-2020,14.46,Pune,BURGLARY,49,F,2,18.5213738,73.8545071
5,01-01-2020,16.51,Pune,VANDALISM,30,F,1,18.5213738,73.8545071
6,01-01-2020,17.09,Delhi,ASSAULT,16,M,3,28.6328027,77.2197713
7,01-01-2020,14.08,Chennai,VEHICLE - STOLEN,64,F,2,13.0836939,80.270186
8,01-01-2020,6.33,Chennai,COUNTERFEITING,78,X,2,13.0836939,80.270186
9,01-01-2020,6.34,Mumbai,EXTORTION,41,X,3,19.054999,72.8692035
10,01-01-2020,17.50,Chennai,PUBLIC INTOXICATION,29,M,1,13.0836939,80.270186
11,01-01-2020,19.42,Delhi,FRAUD,71,M,2,28.6328027,77.2197713
12,01-01-2020,22.16,Surat,IDENTITY THEFT,26,M,1,21.2094892,72.8317058
13,01-01-2020,23.14,Visakhapatnam,FRAUD,36,F,2,17.6935526,83.2921297
14,01-01-2020,17.46,Mumbai,ASSAULT,32,X,3,19.054999,72.8692035
15,01-01-2020,22.28,Bangalore,SEXUAL ASSAULT,77,F,3,12.9767936,77.590082
16,01-01-2020,18.54,Kolkata,COUNTERFEITING,51,F,2,22.5726459,88.3638953
17,01-01-2020,2.57,Ghaziabad,DRUG OFFENSE,61,M,2,28.7749966,77.4586967
18,01-01-2020,23.09,Pune,ARSON,64,F,3,18.5213738,73.8545071
19,01-01-2020,10.42,Bangalore,CYBERCRIME,11,M,2,12.9767936,77.590082
20,01-01-2020,18.02,Bangalore,EXTORTION,62,F,3,12.9767936,77.590082
21,01-01-2020,2.33,Hyderabad,TRAFFIC VIOLATION,50,F,1,17.360589,78.4740613
22,01-01-2020,10.11,Mumbai,VANDALISM,64,F,1,19.054999,72.8692035
23,01-01-2020,22.03,Jaipur,SHOPLIFTING,69,F,1,26.9154576,75.8189817
24,01-01-2020,23.40,Chennai,VANDALISM,77,F,1,13.0836939,80.270186
25,01-02-2020,20.47,Bangalore,DRUG OFFENSE,18,F,2,12.9767936,77.590082
26,01-02-2020,8.21,Jaipur,ASSAULT,60,M,3,26.9154576,75.8189817
27,01-02-2020,4.02,Pune,IDENTITY THEFT,49,M,1,18.5213738,73.8545071
28,01-02-2020,20.11,Lucknow,PUBLIC INTOXICATION,41,F,1,26.8381,80.9346001
29,01-02-2020,19.56,Bangalore,VANDALISM,33,F,1,12.9767936,77.590082
30,01-02-2020,9.35,Bhopal,BURGLARY,37,F,2,23.2584857,77.401989
31,01-02-2020,13.06,Bhopal,HOMICIDE,32,F,3,23.2584857,77.401989
32,01-02-2020,15.05,Hyderabad,VANDALISM,60,M,1,17.360589,78.4740613
33,01-02-2020,3.01,Delhi,ILLEGAL POSSESSION,73,F,2,28.6328027,77.2197713
34,01-02-2020,2.40,Patna,VEHICLE - STOLEN,24,F,2,25.6093239,85.1235252
35,01-02-2020,22.18,Kanpur,VANDALISM,34,F,1,26.4609135,80.3217588
36,01-02-2020,17.48,Chennai,COUNTERFEITING,32,F,2,13.0836939,80.270186
37,01-02-2020,0.18,Lucknow,SEXUAL ASSAULT,33,F,3,26.8381,80.9346001
38,01-02-2020,18.04,Varanasi,SHOPLIFTING,22,F,1,25.3356491,83.0076292
39,01-02-2020,21.24,Surat,VEHICLE - STOLEN,32,F,2,21.2094892,72.8317058
40,01-02-2020,14.05,Mumbai,FRAUD,69,F,2,19.054999,72.8692035
41,01-02-2020,1.51,Visakhapatnam,HOMICIDE,28,F,3,17.6935526,83.2921297
42,01-02-2020,11.09,Surat,ILLEGAL POSSESSION,42,M,2,21.2094892,72.8317058
43,01-02-2020,9.30,Delhi,FIREARM OFFENSE,40,M,2,28.6328027,77.2197713
44,01-02-2020,8.34,Mumbai,SEXUAL ASSAULT,44,M,3,19.054999,72.8692035
45,01-02-2020,6.22,Kolkata,ARSON,44,F,3,22.5726459,88.3638953
46,01-02-2020,9.02,Patna,DRUG OFFENSE,67,M,2,25.6093239,85.1235252
47,01-02-2020,9.55,Delhi,ROBBERY,47,F,3,28.6328027,77.2197713
48,01-02-2020,3.42,Lucknow,FIREARM OFFENSE,38,F,2,26.8381,80.9346001
49,01-03-2020,2.59,Jaipur,ILLEGAL POSSESSION,77,F,2,26.9154576,75.8189817
50,01-03-2020,6.06,Hyderabad,DRUG OFFENSE,37,F,2,17.360589,78.4740613
